id,code,representation,description
l10n_py_country_232,788,TUN,"Túnez"
l10n_py_country_233,795,TKM,"Turkmenistán"
l10n_py_country_234,792,TUR,"Turquía"
l10n_py_country_235,798,TUV,"Tuvalu"
l10n_py_country_236,804,UKR,"Ucrania"
l10n_py_country_237,800,UGA,"Uganda"
l10n_py_country_238,858,URY,"Uruguay"
l10n_py_country_239,860,UZB,"Uzbekistán"
l10n_py_country_240,548,VUT,"Vanuatu"
l10n_py_country_241,336,VAT,"Santa Sede (la)"
l10n_py_country_242,862,VEN,"Venezuela (República Bolivariana de)"
l10n_py_country_243,704,VNM,"Viet Nam"
l10n_py_country_244,876,WLF,"Wallis y Futuna"
l10n_py_country_245,887,YEM,"Yemen"
l10n_py_country_246,262,DJI,"Yibuti"
l10n_py_country_247,894,ZMB,"Zambia"
l10n_py_country_248,716,ZWE,"Zimbabue"
